source_text_to_be_translated,user_free_translation_time_taken,user_mcq_translation_time_taken,accuracy_mcq,accuracy_free
в края на,9.0,2.0,100.0,6.25
в отговор,9.666666666666666,3.3333333333333335,100.0,17.647058823529413
в резултат,10.266666666666667,3.3333333333333335,93.33333333333333,83.33333333333334
в същност,11.166666666666666,3.2222222222222223,94.44444444444444,72.0
в това число,20.916666666666668,4.083333333333333,100.0,50.0
все едно,10.0,3.4,100.0,29.411764705882355
все пак,26.0,7.0,100.0,4.3478260869565215
встрани,11.333333333333334,4.666666666666667,66.66666666666667,17.647058823529413
във вид на,8.5,2.0,100.0,12.5
във всеки случай,12.714285714285714,5.285714285714286,85.71428571428571,26.923076923076923
въпреки че,22.0,6.333333333333333,66.66666666666667,37.5
досега,12.75,4.375,75.0,47.05882352941176
едва ли не,21.076923076923077,7.6923076923076925,76.92307692307692,56.52173913043478
за сметка на,15.0,3.3333333333333335,100.0,18.75
именно че,17.285714285714285,5.0,85.71428571428571,30.434782608695656
как ли пък не,18.8,3.6,100.0,21.73913043478261
както е известно,12.222222222222221,4.5,88.88888888888889,72.0
колкото повече,51.0,8.0,100.0,4.166666666666666
макар и,30.0,4.0,100.0,8.333333333333332
между другото,12.75,4.583333333333333,83.33333333333333,46.15384615384615
може да се каже,23.0,7.0,100.0,11.538461538461538
на света,9.071428571428571,4.071428571428571,64.28571428571429,77.77777777777779
на себе си,22.0,7.0,0.0,5.88235294117647
най-малкото,23.0,6.0,0.0,4.545454545454546
недалече от,12.2,3.6,90.0,62.5
нищо подобно,23.533333333333335,4.266666666666667,100.0,65.21739130434783
от страна на,14.75,4.5,100.0,25.0
от това че,11.666666666666666,4.444444444444445,100.0,37.5
още и,16.3,5.2,90.0,43.47826086956522
още повече,14.0,9.0,100.0,4.545454545454546
по повод на,9.833333333333334,3.0,100.0,37.5
по силата на,14.333333333333334,3.6666666666666665,100.0,18.75
по същество,13.733333333333333,4.066666666666666,86.66666666666667,88.23529411764706
по такъв начин,26.0,4.0,100.0,3.8461538461538463
почти като,19.0,3.9166666666666665,33.333333333333336,52.17391304347826
преди да,17.0,2.5,100.0,9.523809523809524
редом с,13.583333333333334,3.6666666666666665,100.0,75.0
с една дума,27.0,4.0,100.0,4.0
с оглед на,12.2,3.6,40.0,31.25
след като,18.0,2.0,100.0,4.166666666666666
след свършването,24.0,7.0,0.0,12.5
според слухове,33.0,7.5,0.0,7.6923076923076925
съдейки по всичко,20.666666666666668,3.6666666666666665,100.0,12.0
току-що,13.2,3.7,100.0,58.82352941176471
цял живот,10.5,2.625,100.0,44.44444444444444
чак до,8.0,2.0,100.0,6.25
