source_text_to_be_translated,user_free_translation_time_taken,user_mcq_translation_time_taken,accuracy_mcq,accuracy_free
а то й,10.666666666666666,4.285714285714286,85.71428571428571,38.095238095238095
аж до,14.583333333333334,5.416666666666667,91.66666666666667,41.66666666666667
але ж,9.857142857142858,5.571428571428571,47.61904761904762,14.285714285714286
в будь-якому випадку,21.266666666666666,8.8,60.0,40.0
в результаті,11.125,4.0,100.0,87.5
в тому числі,11.238095238095237,4.809523809523809,95.23809523809524,66.66666666666666
в істоті,14.666666666666666,4.466666666666667,66.66666666666667,46.666666666666664
все ж,18.7,4.65,90.0,65.0
все одно,19.647058823529413,4.176470588235294,82.3529411764706,35.294117647058826
від того що,10.0,5.909090909090909,72.72727272727273,36.36363636363637
до сих пір,12.125,5.5625,93.75,87.5
з огляду на,16.75,4.916666666666667,16.666666666666668,8.333333333333332
з приводу,14.25,4.75,75.0,8.333333333333332
з урахуванням,22.583333333333332,6.583333333333333,75.0,0.0
за його думкою,14.4375,4.5,93.75,50.0
за рахунок,18.0,5.833333333333333,50.0,0.0
за чутками,26.75,5.6875,75.0,12.5
мало не,17.55,5.9,45.0,0.0
можна сказати,12.466666666666667,4.8,93.33333333333333,80.0
між іншим,15.133333333333333,5.466666666666667,73.33333333333333,46.666666666666664
на світі,15.125,4.5,93.75,87.5
на себе,11.9375,3.4375,87.5,68.75
не раз,30.470588235294116,5.588235294117647,100.0,68.08510638297872
не те що,13.25,5.25,85.0,70.0
не інакше як,15.6,4.25,85.0,50.0
неподалік від,16.416666666666668,6.583333333333333,83.33333333333333,50.0
ну гаразд,16.45,6.8,70.0,25.0
нічого подібного,13.6,3.8,95.0,75.0
одним словом,10.0,3.6666666666666665,100.0,86.66666666666667
перш ніж,14.409090909090908,4.363636363636363,72.72727272727273,18.181818181818183
по сутi,7.4375,4.5,100.0,87.5
поруч з,21.0,6.25,75.0,8.333333333333332
після закінчення,17.75,6.916666666666667,25.0,58.333333333333336
після того як,10.761904761904763,5.428571428571429,95.23809523809524,57.142857142857146
ради бога,8.866666666666667,3.933333333333333,100.0,6.666666666666667
саме що,13.1,4.75,65.0,10.0
судячи з усього,14.066666666666666,3.933333333333333,86.66666666666667,60.0
таким чином,15.5625,6.0625,75.0,56.25
тим більше,9.363636363636363,4.409090909090909,54.54545454545455,40.909090909090914
тут же,14.235294117647058,3.7058823529411766,94.11764705882354,82.35294117647058
тільки шо,17.058823529411764,6.235294117647059,76.47058823529412,76.47058823529412
у відповідь,25.4375,4.3125,75.0,31.25
у кінці,15.0,4.833333333333333,75.0,41.66666666666667
у формі,15.75,4.333333333333333,58.333333333333336,58.333333333333336
убік,16.8125,7.1875,62.5,12.5
усього-на-всього,14.736842105263158,3.8421052631578947,94.73684210526316,84.21052631578947
хоча б,9.857142857142858,4.809523809523809,85.71428571428571,33.33333333333333
хоча і,10.045454545454545,5.681818181818182,77.27272727272727,50.0
хіба що,15.857142857142858,5.571428571428571,85.71428571428571,19.047619047619047
ціле життя,12.75,4.75,87.5,56.25
чи не,15.1,7.05,55.0,0.0
чи що,13.05,5.6,55.0,35.0
чим більше,10.0,5.409090909090909,86.36363636363636,68.18181818181817
ще і,16.85,4.9,85.0,55.000000000000014
що називається,15.0,5.866666666666666,100.0,80.0
як би не так,9.736842105263158,4.2105263157894735,94.73684210526316,78.94736842105263
як відомо,14.466666666666667,3.6,80.0,86.66666666666667
як тільки,11.476190476190476,4.904761904761905,95.23809523809524,52.380952380952394
із боку,20.416666666666668,6.833333333333333,50.0,25.0
