source_text_to_be_translated,user_free_translation_time_taken,user_mcq_translation_time_taken,accuracy_mcq,accuracy_free
ale przecież,19.666666666666668,5.666666666666667,33.333333333333336,13.043478260869565
aż do,11.363636363636363,4.7272727272727275,18.181818181818183,47.82608695652174
całe życie,20.0,4.2,100.0,33.33333333333333
choć i,13.583333333333334,3.5,100.0,52.17391304347826
co znaczy,11.9,3.7,0.0,66.66666666666666
czy jak,11.75,5.5,25.0,18.181818181818183
czy jeno,20.0,4.0,0.0,4.3478260869565215
im większy,20.0,3.0,100.0,8.695652173913043
jak tylko,10.947368421052632,3.3157894736842106,100.0,82.6086956521739
jak wiadomo,13.857142857142858,3.857142857142857,100.0,46.666666666666664
jednym słowem,13.88888888888889,4.111111111111111,100.0,60.0
moim zdaniem,29.25,7.75,100.0,26.666666666666668
można powiedzieć,18.0,5.0,100.0,6.666666666666667
na koszt,8.0,3.0,100.0,4.3478260869565215
na siebie,16.0,6.333333333333333,100.0,18.75
na uwadze,17.0,5.0,100.0,4.3478260869565215
na świecie,13.142857142857142,3.4285714285714284,85.71428571428571,46.666666666666664
nadal,15.0,5.0,100.0,17.647058823529413
nic podobnego,13.0,3.727272727272727,100.0,50.0
nie bacząc na,12.0,6.0,66.66666666666667,13.043478260869565
nie inaczej jak,15.636363636363637,3.272727272727273,100.0,50.0
niedaleko za,14.8,4.2,66.66666666666667,65.21739130434783
niejednokrotnie,18.2,3.4,0.0,29.411764705882355
nieledwie,25.0,2.75,100.0,18.181818181818183
nieomalże,13.0,3.6666666666666665,66.66666666666667,13.636363636363635
od momentu kiedy,20.555555555555557,6.777777777777778,22.22222222222222,39.130434782608695
od strony,10.11111111111111,3.111111111111111,100.0,39.130434782608695
po skończonym,19.7,5.3,90.0,43.47826086956522
przed chwilą,27.5,3.5,100.0,11.76470588235294
także i,11.25,4.375,12.5,72.72727272727273
to mianowicie,21.5,5.0,50.0,9.090909090909092
tym bardziej,19.5,4.0,100.0,17.391304347826086
u boku,17.333333333333332,8.0,83.33333333333333,26.08695652173913
w bok,14.88888888888889,5.777777777777778,77.77777777777777,52.94117647058824
w dodatku,11.88888888888889,4.333333333333333,33.333333333333336,40.909090909090914
w gruncie,31.25,5.25,75.0,26.666666666666668
w każdym razie,26.0,7.0,100.0,7.142857142857142
w końcu,14.461538461538462,5.923076923076923,92.3076923076923,56.52173913043478
w odpowiedzi,19.25,6.75,100.0,23.52941176470588
w postaci,11.666666666666666,4.333333333333333,100.0,13.043478260869565
w rezultacie czego,15.8,5.2,0.0,66.66666666666666
w rzeczywistości,41.0,4.0,0.0,6.25
w taki oto sposób,25.25,6.25,50.0,26.666666666666668
w tym,18.0,5.0,100.0,4.3478260869565215
wszystko jedno,26.0,6.0,50.0,11.76470588235294
wygląda na to,23.5,4.5,100.0,13.333333333333334
z tego że,15.0,3.0,100.0,4.3478260869565215
