audio_number,sentence,surprisal_value
01,"сашо бе возил с него чичо си не веднъж и не два пъти, носеше винаги в себе си резервните ключове.",11.101418495178223
02,"сега му е все едно дъщеря, не-дъщеря.",13.477193832397461
03,"зад залостената врата беше девети номер, в който току-що влезе александър григориевич.",12.637855529785156
04,"та нали ако кажеш на дивака да остави тоягата, той още начаса, напук, ще направи още три такива тояги…",11.985291481018066
05,"къде изчезна и, защо – и досега е загадка. а бандата му се разпадна – кой накъдето му видят очите.",12.780304908752441
06,в отговор игор само въздъхна.,13.185053825378418
07,валя побутна шефа встрани.,14.116683006286621
08,"всі хочуть командувати, але ніхто не хоче звалити на себе си відповідальність…",11.541153907775879
09,"марк александрович забеляза недоволството на серго, беше огорчен, но знаеше, че серго не е отмъстителен, нито злопаметен, още повече че по същество марк александрович беше прав и не беше виновен.",12.568772315979004
10,татко цял живот само с фьодор михайлович се е занимавал.,12.00896167755127
11,"парагвай, преди наричан „гигантската провинция на индия“, е роден през 16-ти век в резултат на срещата на испанските завоеватели с местните групи.",11.764039039611816
12,"няма вече такива девойки на света, помисли си той.",12.766764640808105
13,освен да… – взе синята папка от масата. дръжте.,12.210711479187012
14,"задържани са от вас наши кораби, в това число и „малака“, наета за рейс до япония.",12.947794914245605
15,това стана ясно още щом минахме през портала.,13.035026550292969
16,"салов съобщи на панафидин, че в района на шикотан мъглата се задържа понякога месец, че даже и повече…",11.225692749023438
17,"след като информацията, оповестена от журналиста макис триантафилопулос в популярното му телевизионно предаване „zoungla“ по алфа тв, депутатът и адвокат, петрос мантувалос, се отказа от поста си.",11.995733261108398
18,"колкото повече мислех по този въпрос, толкова повече се убеждавах, че познавам младежа.",10.918335914611816
19,"тигърът, като добре закръглен атлет, може да се катери (макар и не добре), да плува, да прави огромни скокове и да дърпа със силата на петима здрави човека.",10.15078067779541
20,"да не би да ми стане по-леко от това, че е машина.",12.666831016540527
21,"та нали те нямаха нищо, освен него!",12.756012916564941
22,"и което беше най-лошото, да бъде съучастник или най-малкото свидетел на бандитското спиране на един от товарните влакове по този участък.",9.601243019104004
23,"още повече че карл не е роден в мадрид, нито изобщо в испания.",11.50809383392334
24,"това обаче е много трудна задача за решаване и ще са нужни много години, преди да видим изграждането на полезни реактори за синтез.",11.784069061279297
25,според слухове граничните ни земи с баязид били размирни и той не смеел да изтегли оттам най-добрата си войска.,10.006824493408203
26,по такъв начин този проблем с военните превози е решен.,10.256293296813965
27,във всеки случай сега съм сам и изоставен.,13.205493927001953
28,и между другото въпросният „един час време отдавна беше минал.,11.96992015838623
29,"всичко това спомогна най-вече и за този неочакван случай, благодарение на който сега се променя, може да се каже, цялата ни съдба.",10.57110595703125
